points0.pts
zone0.inf
 66 136
 31
HK_QA0
HK_QA1
HK_QA2
HK_QA3
HK_QA4
HK_QA5
HK_QA6
HK_QA7
HK_QA8
HK_QA9
HK_QA10
HK_QA11
HK_QA12
HK_QA13
HK_QA14
HK_QA15
HK_QA16
HK_QA17
HK_QA18
HK_QA19
HK_QA20
HK_QA21
HK_QA22
HK_QA23
HK_QA24
HK_QA25
HK_QA26
HK_QA27
HK_QA28
HK_QA29
HK_QA30
 477 1 13 0.00000000E+00 4 0.766699135 5 1.65474564E-02 2 6.74429610E-02 3 4.22707945E-02 1 0.114504725 6 -1.46218091E-02 7 -5.33855194E-03 8 -4.45836456E-04 9 -2.82184756E-03 10 3.67471040E-03 11 -2.16182834E-03 12 8.97037052E-03 13 5.27970027E-03
 535 1 13 0.00000000E+00 3 0.662736356 2 0.331000149 1 -1.47997239E-03 4 1.09404875E-02 5 -1.55451335E-03 7 -1.14232604E-03 6 -5.00592578E-04 9 -3.05628855E-05 8 -3.33261763E-04 10 -9.89761975E-05 11 -3.13449927E-05 13 3.50952352E-04 12 1.43610974E-04
 536 1 13 0.00000000E+00 3 0.590583146 2 0.327725232 1 4.14772006E-03 4 8.15954432E-02 5 -3.03329411E-03 6 1.01914154E-02 7 2.83307768E-03 9 -4.72628605E-03 8 -2.63750623E-03 10 -8.52790312E-04 11 -2.85710878E-04 13 -3.44555848E-03 12 -2.09487230E-03
 537 1 13 0.00000000E+00 3 0.489485800 2 0.301671267 1 3.12687233E-02 4 0.172315553 5 -4.76200785E-03 6 2.19739936E-02 7 1.24880448E-02 9 -8.13985802E-03 8 -5.67795755E-03 10 -1.53932185E-03 11 -9.67820990E-04 12 -3.09577817E-03 13 -5.02065755E-03
 538 1 13 0.00000000E+00 3 0.398296654 2 0.256716728 1 5.80824092E-02 4 0.272987694 5 -6.14432571E-03 6 3.12063042E-02 7 1.95790436E-02 9 -1.03270588E-02 8 -8.21572263E-03 10 -2.01600464E-03 11 -1.54049124E-03 12 -3.25809768E-03 13 -5.36716450E-03
 539 1 13 0.00000000E+00 3 0.316887677 2 0.208072320 4 0.380314529 1 7.55967945E-02 5 -7.05184834E-03 6 3.64769474E-02 7 2.26239339E-02 9 -1.12584503E-02 8 -9.83580947E-03 10 -2.23409478E-03 11 -1.88379618E-03 12 -2.81531317E-03 13 -4.89288196E-03
 540 1 13 0.00000000E+00 4 0.492973834 3 0.242604032 2 0.161951527 1 8.27163830E-02 5 -7.60565372E-03 6 3.67717408E-02 7 2.17054430E-02 9 -1.09325536E-02 8 -1.02989301E-02 10 -2.14863289E-03 11 -1.97729561E-03 12 -1.91929087E-03 13 -3.84062785E-03
 541 1 13 0.00000000E+00 4 0.609980226 3 0.173872322 2 0.119905330 5 -7.99715519E-03 1 8.09527710E-02 6 3.12537216E-02 7 1.73998438E-02 8 -9.40718595E-03 9 -9.40392446E-03 10 -1.68953650E-03 11 -1.84307212E-03 12 -6.47785142E-04 13 -2.37554149E-03
 542 1 13 0.00000000E+00 4 0.728950143 5 -7.82379229E-03 3 0.110101759 2 8.20036605E-02 1 7.24699050E-02 6 1.94711760E-02 7 1.05309617E-02 8 -6.99804164E-03 9 -6.81210076E-03 10 -7.46262318E-04 11 -1.55235582E-03 12 1.00824679E-03 13 -6.03328750E-04
 543 1 13 0.00000000E+00 4 0.839349091 5 -2.28037429E-03 3 5.22891656E-02 2 4.85873967E-02 1 6.02000207E-02 6 2.01494503E-03 7 2.18713260E-03 8 -3.07884743E-03 9 -3.49155697E-03 10 8.53905571E-04 11 -1.28904963E-03 12 3.21142026E-03 13 1.44674990E-03
 544 1 13 0.00000000E+00 4 0.889692545 5 3.77958566E-02 3 7.39231845E-03 2 2.33485270E-02 6 -1.71561297E-02 1 5.13187423E-02 7 -5.61573310E-03 8 1.39136880E-03 9 -4.97745699E-04 10 3.39529943E-03 11 -1.61375687E-03 12 6.59647724E-03 13 3.95220844E-03
 601 1 13 0.00000000E+00 3 1.00000000 2 0.00000000E+00 1 0.00000000E+00 4 0.00000000E+00 5 0.00000000E+00 7 0.00000000E+00 6 0.00000000E+00 9 0.00000000E+00 8 0.00000000E+00 10 0.00000000E+00 11 0.00000000E+00 13 0.00000000E+00 12 0.00000000E+00
 602 1 13 0.00000000E+00 3 0.786259353 2 0.114181705 1 -5.45213372E-03 4 8.23762864E-02 5 -9.91232693E-04 6 2.01112665E-02 7 2.07892377E-02 9 -5.30889910E-03 8 -4.63782763E-03 10 -1.13373727E-03 11 -1.22929690E-03 13 -2.84305471E-03 12 -2.12165853E-03
 603 1 13 0.00000000E+00 3 0.621466279 2 0.159819663 1 4.90609743E-03 4 0.172994509 5 -1.35897356E-03 6 3.75657231E-02 7 3.50422002E-02 9 -9.48862452E-03 8 -8.57685320E-03 10 -2.08329596E-03 11 -2.14113691E-03 12 -3.48883122E-03 13 -4.65678377E-03
 604 1 13 0.00000000E+00 3 0.491271734 2 0.163517356 4 0.270764858 1 2.00607348E-02 5 -8.33248661E-04 6 5.15522845E-02 7 4.29844372E-02 9 -1.23445056E-02 8 -1.16462922E-02 10 -2.82908068E-03 11 -2.72864872E-03 12 -4.20859456E-03 13 -5.56103466E-03
 605 1 13 0.00000000E+00 3 0.383622020 2 0.146285444 4 0.374805570 1 3.22693475E-02 5 7.43156881E-04 6 6.10297062E-02 7 4.51109074E-02 9 -1.37553038E-02 8 -1.36546604E-02 10 -3.34743597E-03 11 -2.98698759E-03 12 -4.40821331E-03 13 -5.71355317E-03
 606 1 13 0.00000000E+00 4 0.484778732 3 0.290845692 2 0.119976982 5 3.29782022E-03 1 3.82497273E-02 6 6.47478625E-02 7 4.21640910E-02 9 -1.36761945E-02 8 -1.43964738E-02 10 -3.60027538E-03 11 -2.91678123E-03 12 -4.19965712E-03 13 -5.27153490E-03
 607 1 13 0.00000000E+00 4 0.600924969 3 0.208399490 2 9.03383493E-02 5 6.37138868E-03 1 3.73705178E-02 6 6.13781214E-02 7 3.50978263E-02 8 -1.36569366E-02 9 -1.21361539E-02 10 -3.52512719E-03 11 -2.52752635E-03 12 -3.65940295E-03 13 -4.37553227E-03
 608 1 13 0.00000000E+00 4 0.724123657 5 8.81684199E-03 3 0.133535862 2 5.99148050E-02 1 3.01325470E-02 6 4.97481376E-02 7 2.49981340E-02 8 -1.12104127E-02 9 -9.22989286E-03 10 -3.02143255E-03 11 -1.84914935E-03 12 -2.81598000E-03 13 -3.14310216E-03
 609 1 13 0.00000000E+00 4 0.856115341 5 8.23923014E-03 3 6.44843429E-02 2 2.97091585E-02 6 2.91883722E-02 1 1.73844788E-02 7 1.29687134E-02 8 -6.79280283E-03 9 -5.11197560E-03 10 -1.92935625E-03 11 -9.54532879E-04 12 -1.63589534E-03 13 -1.66509731E-03
 610 1 13 0.00000000E+00 4 1.00000000 5 0.00000000E+00 3 0.00000000E+00 6 0.00000000E+00 2 0.00000000E+00 1 0.00000000E+00 7 0.00000000E+00 8 0.00000000E+00 9 0.00000000E+00 10 0.00000000E+00 11 0.00000000E+00 12 0.00000000E+00 13 0.00000000E+00
 668 1 13 0.00000000E+00 3 0.810210824 2 2.62620952E-02 1 -1.12475362E-02 4 9.16840732E-02 5 1.81863958E-03 7 6.39257431E-02 6 3.90862525E-02 9 -5.43107931E-03 8 -9.08912066E-03 10 -1.59301609E-03 11 -3.57453362E-03 13 -4.64343844E-04 12 -1.58799032E-03
 669 1 13 0.00000000E+00 3 0.669189334 2 6.93693683E-02 4 0.171982393 1 -9.29285213E-03 5 3.69167887E-03 6 5.93663491E-02 7 7.26908445E-02 9 -1.07759200E-02 8 -1.27221821E-02 10 -2.63146684E-03 11 -4.12022462E-03 12 -3.43773980E-03 13 -3.30959260E-03
