points0.pts
zone0.inf
 66 136
 31
SS_QA0
SS_QA1
SS_QA2
SS_QA3
SS_QA4
SS_QA5
SS_QA6
SS_QA7
SS_QA8
SS_QA9
SS_QA10
SS_QA11
SS_QA12
SS_QA13
SS_QA14
SS_QA15
SS_QA16
SS_QA17
SS_QA18
SS_QA19
SS_QA20
SS_QA21
SS_QA22
SS_QA23
SS_QA24
SS_QA25
SS_QA26
SS_QA27
SS_QA28
SS_QA29
SS_QA30
 603 1 11 0.00000000E+00 3 0.621168792 2 0.159738943 1 3.90243344E-03 4 0.172809228 5 -1.79999357E-03 6 3.80464867E-02 7 3.50131132E-02 9 -1.17342407E-02 8 -8.29506479E-03 10 -4.34117019E-03 11 -4.50850744E-03
 604 1 11 0.00000000E+00 3 0.490915686 2 0.163420677 4 0.270542443 1 1.88578088E-02 5 -1.36315194E-03 6 5.21288812E-02 7 4.29498702E-02 9 -1.50293708E-02 8 -1.13080582E-02 10 -5.54730557E-03 11 -5.56746591E-03
 605 1 11 0.00000000E+00 3 0.383254677 2 0.146185562 4 0.374574780 1 3.10247298E-02 5 1.92259977E-04 6 6.16270453E-02 7 4.50757183E-02 9 -1.65201649E-02 8 -1.33037139E-02 10 -6.18383242E-03 11 -5.92705188E-03
 606 1 11 0.00000000E+00 4 0.484562218 3 0.290504366 2 0.119883940 5 2.77937693E-03 1 3.70877087E-02 6 6.53067455E-02 7 4.21321392E-02 9 -1.62371658E-02 8 -1.40672689E-02 10 -6.28587650E-03 11 -5.66619541E-03
 607 1 12 0.00000000E+00 4 0.600865006 3 0.208196148 2 9.02906209E-02 5 6.28107646E-03 1 3.68639119E-02 6 6.15825169E-02 7 3.50541472E-02 8 -1.35645857E-02 9 -1.39270471E-02 10 -3.45850014E-03 11 -3.57866241E-03 12 -4.60462458E-03
 608 1 12 0.00000000E+00 4 0.724080563 5 8.75196792E-03 3 0.133389786 2 5.98805249E-02 1 2.97686327E-02 6 4.98949587E-02 7 2.49667596E-02 8 -1.11440727E-02 9 -1.05163557E-02 10 -2.97357189E-03 11 -2.60421820E-03 12 -3.49496654E-03
 609 1 12 0.00000000E+00 4 0.856092513 5 8.20486154E-03 3 6.44069612E-02 2 2.96909958E-02 6 2.92661525E-02 1 1.71916895E-02 7 1.29520921E-02 8 -6.75765844E-03 9 -5.79349510E-03 10 -1.90400146E-03 11 -1.35454000E-03 12 -1.99559680E-03
 610 1 12 0.00000000E+00 4 1.00000000 5 0.00000000E+00 3 0.00000000E+00 6 0.00000000E+00 2 0.00000000E+00 1 0.00000000E+00 7 0.00000000E+00 8 0.00000000E+00 9 0.00000000E+00 10 0.00000000E+00 11 0.00000000E+00 12 0.00000000E+00
 668 1 11 0.00000000E+00 3 0.810158789 2 2.62457896E-02 1 -1.14757670E-02 4 9.16320980E-02 5 1.67950615E-03 7 6.39276430E-02 6 3.92068140E-02 9 -5.74869430E-03 8 -9.01039504E-03 10 -2.46066251E-03 11 -4.15509706E-03
 669 1 11 0.00000000E+00 3 0.668960571 2 6.93056211E-02 4 0.171824813 1 -1.01051806E-02 5 3.30471713E-03 6 5.97641468E-02 7 7.26738870E-02 9 -1.24442857E-02 8 -1.24827949E-02 10 -4.73260228E-03 11 -6.06891746E-03
 670 1 11 0.00000000E+00 3 0.537412882 2 8.99433866E-02 4 0.260337472 1 -3.61664360E-03 5 6.75438158E-03 6 7.83497468E-02 7 7.71439001E-02 9 -1.70430429E-02 8 -1.55186849E-02 10 -6.45398395E-03 11 -7.30937393E-03
 671 1 11 0.00000000E+00 3 0.422666937 4 0.354583591 2 9.10163820E-02 1 3.03313439E-03 5 1.26928529E-02 6 9.29033980E-02 7 7.58438706E-02 9 -1.95479542E-02 8 -1.76522154E-02 10 -7.66959460E-03 11 -7.87042081E-03
 672 1 12 0.00000000E+00 4 0.453354359 3 0.322674423 2 7.98762292E-02 5 2.24086512E-02 1 7.44032953E-03 6 0.101135656 7 6.90819472E-02 9 -1.94647368E-02 8 -1.88696068E-02 10 -4.74544056E-03 11 -5.83200622E-03 12 -7.05980835E-03
 673 1 12 0.00000000E+00 4 0.554797351 3 0.234314367 5 3.58239040E-02 2 6.19032346E-02 6 0.101933211 1 6.82142610E-03 7 5.79487495E-02 8 -1.83501299E-02 9 -1.79918054E-02 10 -5.01719071E-03 11 -5.18209953E-03 12 -7.00100325E-03
 674 1 12 0.00000000E+00 4 0.655945539 5 5.54265045E-02 3 0.155729607 2 4.06754091E-02 6 9.31483805E-02 1 1.89361372E-03 7 4.38361913E-02 8 -1.62277762E-02 9 -1.48471659E-02 10 -4.93446412E-03 11 -4.11322014E-03 12 -6.53262436E-03
 675 1 12 0.00000000E+00 4 0.745282650 5 8.79048780E-02 3 8.68042335E-02 6 7.40281343E-02 2 1.90113969E-02 1 -5.77251427E-03 7 2.84621138E-02 8 -1.26483608E-02 9 -1.04315365E-02 10 -4.34499141E-03 11 -2.75343470E-03 12 -5.54256281E-03
 735 1 11 0.00000000E+00 3 0.651140988 2 2.46702284E-02 4 0.167050660 1 -1.75237712E-02 6 8.56621712E-02 5 9.17286519E-03 7 0.122641660 9 -1.27626657E-02 8 -1.73667371E-02 10 -4.80394019E-03 11 -7.88144954E-03
 736 1 11 0.00000000E+00 3 0.539511561 2 4.28926907E-02 4 0.242336959 1 -1.62840169E-02 5 1.61134247E-02 6 0.109302975 7 0.121393748 9 -1.89328957E-02 8 -2.01874357E-02 10 -6.93444582E-03 11 -9.21258237E-03
 737 1 12 0.00000000E+00 3 0.432934076 4 0.322239697 2 5.01486026E-02 5 2.78482977E-02 6 0.129750952 1 -1.29757961E-02 7 0.114694618 9 -2.21008658E-02 8 -2.25857496E-02 10 -4.94727446E-03 11 -7.95705337E-03 12 -7.04951165E-03
 738 1 12 0.00000000E+00 4 0.403229952 3 0.335777849 2 4.76341732E-02 5 4.52903360E-02 6 0.145232797 1 -1.12316320E-02 7 0.102455527 9 -2.33397726E-02 8 -2.36020330E-02 10 -5.68136014E-03 11 -7.78815150E-03 12 -7.97769427E-03
