points0.pts
zone0.inf
 152 271
 38
PP0
PP1
PP2
PP3
PP4
PP5
PP6
PP7
PP8
PP9
PP10
PP11
PP12
PP13
PP14
PP15
PP16
PP17
PP18
PP19
PP20
PP21
PP22
PP23
PP24
PP25
PP26
PP27
PP28
PP29
PP30
PP31
PP32
PP33
PP34
PP35
PP36
PP37
 1087 1 11 0.00000000E+00 3 0.453750968 1 0.397951514 2 0.174180865 4 -2.18382161E-02 5 3.39673646E-03 6 -4.73024556E-03 7 2.82822340E-03 8 1.65581086E-03 9 -3.05725797E-03 10 -3.27228429E-03 11 -8.66118527E-04
 1088 1 11 0.00000000E+00 3 0.500189781 1 0.396984667 2 0.124313369 4 -3.09555922E-02 5 1.31338844E-02 6 -5.31686191E-03 7 4.64281905E-03 8 2.94114184E-03 9 -3.75261437E-03 10 -3.45581095E-03 11 1.27523800E-03
 1089 1 11 0.00000000E+00 3 0.536291659 1 0.393322229 2 8.32186863E-02 4 -4.00042199E-02 5 2.63145994E-02 6 -5.91482921E-03 7 6.81250123E-03 8 4.45721811E-03 9 -4.58248006E-03 10 -3.68502666E-03 11 3.76963732E-03
 1090 1 11 0.00000000E+00 3 0.560928643 1 0.388514608 2 4.99916151E-02 4 -4.83642705E-02 5 4.29041311E-02 6 -6.48856442E-03 7 9.32559278E-03 8 6.18063193E-03 9 -5.54903829E-03 10 -3.97801073E-03 11 6.53463462E-03
 1226 1 11 0.00000000E+00 2 0.718005955 4 0.172528490 1 0.156533971 3 -8.40445757E-02 5 -1.54434219E-02 6 -3.44584580E-03 7 2.57242634E-03 9 4.04887629E-04 8 5.09872055E-03 10 1.21117467E-02 11 3.56776342E-02
 1227 1 11 0.00000000E+00 2 0.759678483 1 0.143758923 4 0.143392131 3 -7.40436688E-02 5 -1.35520799E-02 6 -3.11483094E-03 7 1.98742514E-03 9 1.69023959E-04 8 4.07607807E-03 10 9.41644609E-03 11 2.82320939E-02
 1228 1 11 0.00000000E+00 2 0.804910183 1 0.129158616 4 0.109181747 3 -6.18499219E-02 5 -1.12094795E-02 6 -2.61465134E-03 7 1.44258246E-03 9 8.53700749E-06 8 3.08471569E-03 10 6.85269479E-03 11 2.10349895E-02
 1229 1 11 0.00000000E+00 2 0.852283955 1 0.113094755 4 7.02156499E-02 3 -4.68431562E-02 5 -8.45527370E-03 6 -1.94601831E-03 7 9.46691376E-04 9 -6.64832987E-05 8 2.13252939E-03 10 4.46759956E-03 11 1.41697815E-02
 1230 1 11 0.00000000E+00 2 0.895056844 1 9.81411636E-02 4 2.90878490E-02 3 -2.73514390E-02 5 -5.55472961E-03 6 -1.18009467E-03 7 5.00608585E-04 9 -7.23661142E-05 8 1.23872759E-03 10 2.31852639E-03 11 7.81490095E-03
 1231 1 11 0.00000000E+00 2 0.901514947 1 9.75902379E-02 4 -1.33398327E-03 3 3.22752842E-03 5 -3.79349641E-03 6 -6.95460942E-04 7 5.81314125E-05 9 -1.28463929E-04 8 4.51533677E-04 10 5.32880949E-04 11 2.57616187E-03
